ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
P122900,full,Dramatically Different Moisturizing Gel,Clinique,4.4635,2943,108,514,54412,27,4.2 oz Pump/ 125 mL,Skincare:Moisturizers:Moisturizers,JP:KR:NL:GB:DE:NO,92,113,167,538,2033,FALSE
P122912,partial,High Impact Mascara,Clinique,4.358,2081,42,222,20995,17.5,,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,79,86,150,462,1304,FALSE
P122914,full,"Airbrush Concealer Illuminates, Perfects",Clinique,4.1952,415,20,76,12178,20.5,0.05 oz/ 1.5 mL,Makeup:Face:Concealer,JP:KR:NL:GB:DE:NO,18,26,36,112,223,FALSE
P12295,partial,Sugar Face Polish,Fresh,4.5569,677,38,141,31117,62,4.4 oz/ 125 g,Skincare:Cleansers:Exfoliators,JP:SE:KR:NL:GB:AU:DE:NO,20,21,21,115,502,FALSE
P12336,partial,Rose Face Mask,Fresh,4.1483,1369,48,267,53059,62,3.3 oz/ 100 mL,Skincare:Masks:Face Masks,JP:SE:KR:NL:GB:AU:DE:NO,91,100,114,274,790,FALSE
P12340,full,Hydra-Bébé® Body Lotion,Mustela,4.15,20,2,1,641,16,10.14 oz,Bath & Body:Body Care:Mother & Baby,CA,3,0,1,3,13,FALSE
P124001,full,Bienfait Multi-Vital Sunscreen Lotion Broad Spectrum SPF 30,Lancôme,4.128,125,12,27,2495,49,1.69 oz,Skincare:Moisturizers:Moisturizers,JP:SE:KR:NL:GB:DE:CA:NO,8,12,10,21,74,FALSE
P12409,full,Perfume,Marc Jacobs Fragrances,4.7508,321,16,38,8188,90,1.7 oz,Fragrance:Women:Perfume,CA,3,3,13,33,269,FALSE
P12420,partial,Light Blue,Dolce&Gabbana,4.5948,2537,42,161,51647,76,1.6 oz/ 50 mL,Fragrance:Women:Perfume,AU,68,59,114,351,1945,FALSE
P12430,partial,Acqua Di Gio Pour Homme,Giorgio Armani Beauty,4.8124,613,12,27,9786,85,3.4 oz/ 100 mL,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:NO,11,2,8,49,543,FALSE
P12432,full,Emporio He,Giorgio Armani Beauty,,,,,,,,,,0,0,0,0,0,TRUE
P12434,full,Emporio She,Giorgio Armani Beauty,4.6845,168,5,17,2340,68,1.7 oz/ 50 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,6,2,3,17,140,FALSE
P12436,full,Polo,Ralph Lauren,4.359,39,1,1,629,68,2 oz/ 60 mL,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:NO,3,0,1,11,24,FALSE
P12437,full,Polo Sport,Ralph Lauren,4.6923,13,0,0,489,56,2.5 oz,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:CA:NO,0,0,0,4,9,FALSE
P124716,partial,3 Little Wonders™,Olehenriksen,4.4027,1865,103,364,19760,72,,Skincare:Value & Gift Sets,GB:NO,82,72,105,361,1246,FALSE
P12481,full,N°5 Parfum,Chanel,4.75,4,1,0,2386,125,0.25 oz,Fragrance:Women:Perfume,JP:SE:KR:NL:GB:AU:DE:CA:NO,0,0,0,1,3,FALSE
